content,username,replyto,permalink
"Andrew McCarthy - “I said this could never happen. This is so bad that they should be looking at the judges who signed off on this stuff, not just the people who gave it. It is so bad it screams out at you.”  On the whole FISA scam which led to the rigged Mueller Witch Hunt!",realDonaldTrump,,https://twitter.com/realDonaldTrump/status/1021007656511852544
"Anyone who thinks or said that something like this ""could never happen"" is beyond naive. In fact, if you don't see that the FISA court was actually DESIGNED to do exactly this kind of corrupt clandestine thing then you have a LOT of catching up to do.",USlawreview,"realDonaldTrump,ThomasPaine5",https://twitter.com/USlawreview/status/1021445756425826304
"Of course. When phony baloney warrants are rubber stamped envelope masse. Based on the evidence, what other conclusion could there be? And these people sit on juries weighing evidence against YOU.",ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448260895068160
"yes. A real laugher as far as I'm concerned. BUT the masses still run around telling me how it is ""the greatest freedom machine"" ever invented. lol",USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021448536251039744
I believe the real reason that 'felons' are not allowed to vote is that they know what the system really is.,ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448970734882817
certainly a good reason for the system to not allow it. And certainly ONE of the reasons.,USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021449300218441729
"The 4 judges who signed off on the 4 Carter Page FISA applications were all appointed by Republican presidents:

-Anne Conway (appointed by George H.W. Bush)
-Rosemary Collyer and Michael Mosman (appointed by George W. Bush)
-Raymond Dearie (appointed by Ronald Reagan)",stopthenutjob,realDonaldTrump,https://twitter.com/stopthenutjob/status/1021007816625217536
Is anyone surprised Obama committed treason against America? Nope!,The_Trump_Train,realDonaldTrump,https://twitter.com/The_Trump_Train/status/1021008188974555136
pic.twitter.com/PbBz6oe5Q6,RogueFirstLady,realDonaldTrump,https://twitter.com/RogueFirstLady/status/1021008693746388992
"Still calling it a witch hunt when President Putin admitted on the world stage that he tried to help you win the election & directed 12 Russians to hack USA! And your own campaign has produced 100’s of indictments, guilty pleas & criminal charges “Russia if you’re listening....”",valerie135,realDonaldTrump,https://twitter.com/valerie135/status/1021062236314521602
"4 actual judges who understand the law and the process. 400 pages of actual evidence. 32 actual indictments on over 100 charges. Guilty pleas already entered. Prison terms already served. 

If it's a witch hunt, you're the boss witch and you have the boss target on your back.",JaxsonAgincourt,realDonaldTrump,https://twitter.com/JaxsonAgincourt/status/1021091824285495296
"Obama-Hillary stole millions from Swiss Bank (UBS) in exhanging for burying the terrorist finance connection to Covington and Burling and Eric Holder and Lanny Breuer and Loretta Lynch at the DOJ.  All documented here:,http://www.,shellgamewhistleblower.com, ",armypsyop,realDonaldTrump,https://twitter.com/armypsyop/status/1021490283148713984
"If Trump did what any of the past presidents did they’d be calling it Treason,pic.twitter.com/YDaJKgw03b",DirtBagPolitics,realDonaldTrump,https://twitter.com/DirtBagPolitics/status/1021007967448018944
"WATCH: James Clapper admits that Barack Obama ordered the creation of the fraudulent “Intelligence Community Assessment” that led to Mueller being appointed,pic.twitter.com/f8nTiZJRSE",AliDee12017,realDonaldTrump,https://twitter.com/AliDee12017/status/1021409893931241472
Where does he say “fraudulent”?,msgrumpybunny,"AliDee12017,realDonaldTrump",https://twitter.com/msgrumpybunny/status/1021498853256781825
Everyone knows it was all fraudulent!,AliDee12017,"msgrumpybunny,realDonaldTrump",https://twitter.com/AliDee12017/status/1021516854689517568
"Well, Andrew’s been known to prop up dead men before...,pic.twitter.com/gstCZgQO1p",AmishPornStar1,realDonaldTrump,https://twitter.com/AmishPornStar1/status/1021580106878382081
"Omg what a joke! He meant Joseph Mac Carthy, I think. Who never even said that !!!",zaremba_cathy65,"AmishPornStar1,realDonaldTrump",https://twitter.com/zaremba_cathy65/status/1022004679604092929
pic.twitter.com/Cn8dlRkNVn,Trumpgot2go,realDonaldTrump,https://twitter.com/Trumpgot2go/status/1021054122693455872
"McCarthy is correct!  I've said it from the start. When ,@,HillaryClinton, is involved it's criminal corruption!

,#,FireMuellerandRosenstein",DrDHennen,realDonaldTrump,https://twitter.com/DrDHennen/status/1021416249115447297
"@,MattDrudge, Obama appointed judge Rudy Contreras (Strzok's friend) signed FISA warrant based on ,#,FakeDossier, created by ,#,FusionGPS, employee ,#,NellieOhr, submitted to ,@,FBI, husband ,#,BruceOhr,. Judge wouldn't recuse himself was removed took full retirement pkge returned to Miami.,pic.twitter.com/xqVv53pSMU",SyndicatedTalk,realDonaldTrump,https://twitter.com/SyndicatedTalk/status/1021408076526702592
pic.twitter.com/TfJCrJnQSD,CallisonBrandon,realDonaldTrump,https://twitter.com/CallisonBrandon/status/1021407527878242304
Can we just do away with FISA courts entirely now? They are unconstitutional to begin with.,Lumacas,realDonaldTrump,https://twitter.com/Lumacas/status/1021426173379858432
"Can we?   Do you work in government.  ,#,MORONSFOLLOWTRUMP",cokodozo,"Lumacas,realDonaldTrump",https://twitter.com/cokodozo/status/1021610223520423936
You two should do a remake of Weekend At Bernie’s,RobDubJ,realDonaldTrump,https://twitter.com/RobDubJ/status/1021398553619456000
I hate myself. I would watch that,skynetesq,"RobDubJ,realDonaldTrump",https://twitter.com/skynetesq/status/1021401285226999808
"Please close down the ,#,ChildConcentrationCamps",lempimiller,realDonaldTrump,https://twitter.com/lempimiller/status/1021542814851588096
"The ones that ,#,OBAMA, opened?",freefly10,"lempimiller,realDonaldTrump",https://twitter.com/freefly10/status/1021572653662920704
"#,RussianBot",lempimiller,"freefly10,realDonaldTrump",https://twitter.com/lempimiller/status/1021584817631059968
"obama should be arrested and thrown in prison . he had relations with iran and he gave 2,500 iran's citizens ship to america .",alvina71,realDonaldTrump,https://twitter.com/alvina71/status/1021391511257305090
Didn’t know which hunts resulted in 12 indictments,TGombita,realDonaldTrump,https://twitter.com/TGombita/status/1021546945716932608
Where are your tax returns you promised?,paw1028,realDonaldTrump,https://twitter.com/paw1028/status/1021515987471032320
Let's talk about Seth rich is that a mob hit what's going on with that we need to talk about who murdered Seth rich,dancrabtree63,realDonaldTrump,https://twitter.com/dancrabtree63/status/1021408485442015233
"Oohh, Mueller must be getting close. ",rdmmus,realDonaldTrump,https://twitter.com/rdmmus/status/1021398834239410177
"what a joke.,pic.twitter.com/XU4ypcPOlO",RobertD42451426,"rdmmus,realDonaldTrump",https://twitter.com/RobertD42451426/status/1022078547408707585
"Please have the rest of those documents declassified so we, the American people,  can view the truth.  And please get rid of Jeff Sessions.  He is worthless in this role.",Lindymac22,realDonaldTrump,https://twitter.com/Lindymac22/status/1021844705053749248
"@,jeffsessions, is definitely a disgrace to the AG position & he is a disgrace to Alabama and he should have been fired a long time ago.",cost_tracy,"Lindymac22,realDonaldTrump",https://twitter.com/cost_tracy/status/1022321704192946177
"So either everyone in law enforcement is lying... Or ,#,DonaldTrump, is.

If you picked everyone else, you're part of the problem.",DynaMoChen,realDonaldTrump,https://twitter.com/DynaMoChen/status/1021389238372380674
"If your thinking is that clouded, then you definitely have a problem. GREAT NEWS! TDS is treatable...just take some thinking lessons and a breath, you'll be fine, AND a MAGA Recipient.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021409348130623488
Thank you and your 7 followers... whew.,DynaMoChen,"camshot2,realDonaldTrump",https://twitter.com/DynaMoChen/status/1021410672889016320
"Isn't twitter amazing? Just opened my account a few weeks back and never used it until a few days ago and much more than 7 followers already today! WOW! BUT it isn't about numbers, it is about content. You lack therein my friend.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021438249921929216
52 tweets is NOT content.,DynaMoChen,"camshot2,realDonaldTrump",https://twitter.com/DynaMoChen/status/1021441440847736833
"Ah yes...Grassmoker, but it is a start... You see content is a word you do not really understand it appears. Do not fear, for I will instruct your Weedflopper.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021508137919107072
"It’s as obvious as the nose on my face that the FISA Court was set up to be a “personal court” for the ,#,DeepState, criminals. 99% of FISA Court applications had been approved. ,#,LockThemAllUp",Oh_Please227,"realDonaldTrump,DeplorableJLS",https://twitter.com/Oh_Please227/status/1023819001170804738
It's almost unnecessary considering they have 5 eyes allies spy on us legally and give them our private (constitutionally protected) data anyways.,DeplorableJLS,"Oh_Please227,realDonaldTrump",https://twitter.com/DeplorableJLS/status/1023819772767739905
Spot on! How blessed are we to have Trump in power!? ,Oh_Please227,"DeplorableJLS,realDonaldTrump",https://twitter.com/Oh_Please227/status/1023820275622674434
I have been saying for a year now the Judges are as corrupt just as the FBI & DOJ.,GaryBal36514647,realDonaldTrump,https://twitter.com/GaryBal36514647/status/1021499976990576648
"Nothing surprises me when involves Clinton. Obama needed Clinton to win. Clinton paid for the dossier, Obama gave nod to Brennan uses counterintelligence Inv to set up fake meetings CPage GPopadopalus with Russians. FBI covered Clinton email & server crimes. Conspiracy ya think.",kianats,realDonaldTrump,https://twitter.com/kianats/status/1021407708854083586
Four of the judges are Republicans.  And there were only four judges.,BubMcCrackerby,realDonaldTrump,https://twitter.com/BubMcCrackerby/status/1021510914799853569
"Handful Of Senior Corrupted FBI. DOJ Deep-State-Democrats Tried 2 Overthrow American Election & When They Got Caught They Tried 2 Fame Legitimate Elected President Trump This Framing Continues To Go On By A Corrupted Special Council Mueller ,America, DEAMANDING JUSTICE",EdwardAshton30,realDonaldTrump,https://twitter.com/EdwardAshton30/status/1021393191654907905
"I keep hearing about these law breaking politicians, ect. Are these people above the law?! Make examples of some of these high profile law breakers & maybe the others will straighten up! I'm honestly sick of hearing about this crap & never seeing no one get charged & go to jail!",GeneAtha,realDonaldTrump,https://twitter.com/GeneAtha/status/1021407615698513920
You seem to be pretty worried for someone who hasn't done anything wrong and has nothing to hide ,kekod02,realDonaldTrump,https://twitter.com/kekod02/status/1021500178426150914
"#,WeDontBelieveYou, ,#,WeDontBelieveYou, ,#,WeDontBelieveYou, ,#,WeDontBelieveYou, ,#,WeDontBelieveYou, ,#,WeDontBelieveYou",StacyeJowers,realDonaldTrump,https://twitter.com/StacyeJowers/status/1021484096432885760
We need that second Special Counsel! We're are behind you all the way Mr. President,ompastor,realDonaldTrump,https://twitter.com/ompastor/status/1021433578348007424
"Wow, you sound SO, SO guilty. Desperate. Sad.",JamMarchant00,realDonaldTrump,https://twitter.com/JamMarchant00/status/1021439307691638784
YouTube the 60-minute deception what the media does to people it's astounding it really is cover-ups on one of the most popular shows in America,dancrabtree63,realDonaldTrump,https://twitter.com/dancrabtree63/status/1021408965576527875
I don't understand why Obama is not brought up on treasonous actions. Him and Hillary are both guilty of treason and should be prosicuted for it. And everywho else that is  threatening to do harm to our President and first lady.,SandraF62435799,realDonaldTrump,https://twitter.com/SandraF62435799/status/1021410033966493697
"Andrew McCarthy - “I said this could happen. This is so good that they should be looking at the judges who signed off on this stuff, not just the people who gave it. It is so good it screams out at you.”  On the whole FISA warrant which led to the Mueller Russia investigation!",MarijaneKane,realDonaldTrump,https://twitter.com/MarijaneKane/status/1021413381432061952
pic.twitter.com/q5Cj7i2t0u,donaldthinskin,realDonaldTrump,https://twitter.com/donaldthinskin/status/1021388560723656705
"I’d have thought a person of your considerable age, would be smarter, & Not B A ",LeaHarrelson,"donaldthinskin,realDonaldTrump",https://twitter.com/LeaHarrelson/status/1021600482509447168
"Shame you are unable to read,pic.twitter.com/4azHiG0uNP",donaldthinskin,"LeaHarrelson,realDonaldTrump",https://twitter.com/donaldthinskin/status/1021622978256166913
Hillary should also be on that list many of those in your office  having problems with should have had their Security Clearances they use their positions to cause trouble.,Robert07231859,realDonaldTrump,https://twitter.com/Robert07231859/status/1021729945087827968
I meant for people like Hillary and others should all have their security clearances Removed this would happen in any other office.  They have proved that they can not be trusted.,Robert07231859,"Robert07231859,realDonaldTrump",https://twitter.com/Robert07231859/status/1021732036627910658
"#,MuellerWitchHunt, 
,#,RussiaHoax,pic.twitter.com/aOvWts4687",misterdish69,realDonaldTrump,https://twitter.com/misterdish69/status/1021398490352635905
"Mr. Trump,
You ARE the President Sir.  ORDER an investigation.  Tell your utterly useless, and possibly fifth columnist, AG Session to get off of his butt and FINALLY do his job.  Give him 24 hours to comply.  If he has not, FIRE HIM.

TO HELL with what Democrats think and may do",AgentPepsi01,realDonaldTrump,https://twitter.com/AgentPepsi01/status/1021839266928893953
Getting scared Donnie!!,strongergunlaws,realDonaldTrump,https://twitter.com/strongergunlaws/status/1021490519900336128
pic.twitter.com/pcX9Rr8QpU,kimmyp1969,realDonaldTrump,https://twitter.com/kimmyp1969/status/1021422788282802176
"POTUS, DE-CLASSIFY ALL DOCS. regarding the FISA???!?!?!?!?!?!?!",DaddyRicx,realDonaldTrump,https://twitter.com/DaddyRicx/status/1021408341979992065
"This is what happens when Americans are asleep, allowing corrupt people to run their country. And dems downplaying this and not wanting answers should speak volumes to the voters. But there is a certain faction that wont care, because Trump.",JenStanford76,realDonaldTrump,https://twitter.com/JenStanford76/status/1021502205923405826
pic.twitter.com/o5ym1kgacf,FavreforPrez20,realDonaldTrump,https://twitter.com/FavreforPrez20/status/1021597599202242560
pic.twitter.com/vKmB0bTQwG,lowehuff,realDonaldTrump,https://twitter.com/lowehuff/status/1021409365209862145
"We deserve full investigation of every factual lead, and prosecution of everyone committing a crime.",WR_Lundberg,realDonaldTrump,https://twitter.com/WR_Lundberg/status/1021917816017051652
pic.twitter.com/HZzFjI7Wdi,ArthurRosenhaus,realDonaldTrump,https://twitter.com/ArthurRosenhaus/status/1021393005364666369
The dossier info leaked & passed around to give appearance of multiple sources while its all fake intelligence. FISA application relates sources all connected to dossier = Clinton<bottom of the swamp. Makes me wonder what Clinton uses as leverage to get people to commit treason.,kianats,realDonaldTrump,https://twitter.com/kianats/status/1021409549801132032
"The Mueller investigation is NOT a WITCH hunt. Nice try to sway the public by calling it so. Why don’t you stop acting scared, and start acting more presidential?",karenrothstein,realDonaldTrump,https://twitter.com/karenrothstein/status/1021905472129888256
"#,ShutUpTrump",Saeed47864730,realDonaldTrump,https://twitter.com/Saeed47864730/status/1021866213675290624
We The People Are With You President Trump. Never Forget!,EvlynlongLong,realDonaldTrump,https://twitter.com/EvlynlongLong/status/1021392661343883264
"#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice, ,#,PutinsApprentice",petethetramp54,realDonaldTrump,https://twitter.com/petethetramp54/status/1021657298937102336
"Andrew McCarthy - ""No, the President Did Not Need to Meet with Putin"",https://www.,nationalreview.com/2018/07/trump-,putin-meetings-unnecessary/, ,…",nyc_oz,realDonaldTrump,https://twitter.com/nyc_oz/status/1021014301610598400
"Why not just declassify everything and end the ,#,WitchHunt,? Then people like the piece of ,#,Schiff, should resign in disgrace for lying and trying to mislead the American People.",exhaustartist,"realDonaldTrump,LindaMott9",https://twitter.com/exhaustartist/status/1021424822608367616
"Yes Mr President I’ve Often Wondered If The Judges Were Duped & Lied To Why Are They All Hiding ? Why Aren’t They Mad At The DemonRats , Unless They Were In On The Fraud Themselves ?",Nightlaser,realDonaldTrump,https://twitter.com/Nightlaser/status/1021415849112956928
Disclassify these documents.  Put an end to it.  You should have fired Sessions once he recused himself.  They all work for you.,huffsticklermr,realDonaldTrump,https://twitter.com/huffsticklermr/status/1021566484412354560
Resign please!,pouncer127,realDonaldTrump,https://twitter.com/pouncer127/status/1021455690995359745
Start with Rosenstein!,asteri_o23,realDonaldTrump,https://twitter.com/asteri_o23/status/1021445096443600896
"THEY ARE ALL REPUBLICANS! This isn’t about Democrat or Republican. This is about right and wrong. You lie to your little base every time you speak,
This is not a witch hunt. All of this is based on facts. LOTS OF FACTS! Real facts, not the “alternative facts” that you dish out.",Texasblaze69,realDonaldTrump,https://twitter.com/Texasblaze69/status/1021503145678196737
"There is no rigged Mueller Witch Hunt! There was a rigged election! You just keep deflecting, muddying the waters and kissing up to Putin. You are a dangerous person and I only hope our country can recover from this awful Presidency! Now you are threatening war with Iran! ",pattyptrish,realDonaldTrump,https://twitter.com/pattyptrish/status/1021578035655520256
"#,WitchHunt,  big red wave coming.",NotFrank3,realDonaldTrump,https://twitter.com/NotFrank3/status/1022673224776204289
Breaking News: THE FISA JUDGE FOR CARTER PAGE'S SURVEILLANCE WARRANT PREVIOUSLY WORKED AT THE U.S. POSTAL SERVICE AS A STAMP.,Tunatoonses,"realDonaldTrump,LouDobbs",https://twitter.com/Tunatoonses/status/1021492627261321217
HOW THE HELL CAN U CALL IT RIGGED OR A WITCH HUNT? It sure is catching a lot of witches- conspirators agsinst our COUNTRY! You are the least country loving person..I think Osma Bin Ladin had more respect 4US than you! You are a DOMESTIC TERRORIST! You are TERRORIZING THE PEOPLE!,SANDEECARBRAWL,realDonaldTrump,https://twitter.com/SANDEECARBRAWL/status/1021410708687376384
"Bad is an understatement, it’s the worst this Country has ever seen.",teena12170,realDonaldTrump,https://twitter.com/teena12170/status/1021405625723641857
pic.twitter.com/5c1gnBtYGZ,BuntingJan,realDonaldTrump,https://twitter.com/BuntingJan/status/1021586037934628864
pic.twitter.com/O3JMUiKjGz,John_W_Harper,realDonaldTrump,https://twitter.com/John_W_Harper/status/1021964458376290304
content,username,replyto,permalink,time
"Andrew McCarthy - “I said this could never happen. This is so bad that they should be looking at the judges who signed off on this stuff, not just the people who gave it. It is so bad it screams out at you.”  On the whole FISA scam which led to the rigged Mueller Witch Hunt!",realDonaldTrump,,https://twitter.com/realDonaldTrump/status/1021007656511852544,1532262169
"Anyone who thinks or said that something like this ""could never happen"" is beyond naive. In fact, if you don't see that the FISA court was actually DESIGNED to do exactly this kind of corrupt clandestine thing then you have a LOT of catching up to do.",USlawreview,"realDonaldTrump,ThomasPaine5",https://twitter.com/USlawreview/status/1021445756425826304,1532366620
"Of course. When phony baloney warrants are rubber stamped envelope masse. Based on the evidence, what other conclusion could there be? And these people sit on juries weighing evidence against YOU.",ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448260895068160,1532367217
"yes. A real laugher as far as I'm concerned. BUT the masses still run around telling me how it is ""the greatest freedom machine"" ever invented. lol",USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021448536251039744,1532367283
I believe the real reason that 'felons' are not allowed to vote is that they know what the system really is.,ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448970734882817,1532367386
certainly a good reason for the system to not allow it. And certainly ONE of the reasons.,USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021449300218441729,1532367465
"The 4 judges who signed off on the 4 Carter Page FISA applications were all appointed by Republican presidents:

-Anne Conway (appointed by George H.W. Bush)
-Rosemary Collyer and Michael Mosman (appointed by George W. Bush)
-Raymond Dearie (appointed by Ronald Reagan)",stopthenutjob,realDonaldTrump,https://twitter.com/stopthenutjob/status/1021007816625217536,1532262207
Is anyone surprised Obama committed treason against America? Nope!,The_Trump_Train,realDonaldTrump,https://twitter.com/The_Trump_Train/status/1021008188974555136,1532262296
pic.twitter.com/PbBz6oe5Q6,RogueFirstLady,realDonaldTrump,https://twitter.com/RogueFirstLady/status/1021008693746388992,1532262416
"Still calling it a witch hunt when President Putin admitted on the world stage that he tried to help you win the election & directed 12 Russians to hack USA! And your own campaign has produced 100’s of indictments, guilty pleas & criminal charges “Russia if you’re listening....”",valerie135,realDonaldTrump,https://twitter.com/valerie135/status/1021062236314521602,1532275182
"4 actual judges who understand the law and the process. 400 pages of actual evidence. 32 actual indictments on over 100 charges. Guilty pleas already entered. Prison terms already served. 

If it's a witch hunt, you're the boss witch and you have the boss target on your back.",JaxsonAgincourt,realDonaldTrump,https://twitter.com/JaxsonAgincourt/status/1021091824285495296,1532282236
"If Trump did what any of the past presidents did they’d be calling it Treason,pic.twitter.com/YDaJKgw03b",DirtBagPolitics,realDonaldTrump,https://twitter.com/DirtBagPolitics/status/1021007967448018944,1532262243
"WATCH: James Clapper admits that Barack Obama ordered the creation of the fraudulent “Intelligence Community Assessment” that led to Mueller being appointed,pic.twitter.com/f8nTiZJRSE",AliDee12017,realDonaldTrump,https://twitter.com/AliDee12017/status/1021409893931241472,1532358070
Where does he say “fraudulent”?,msgrumpybunny,"AliDee12017,realDonaldTrump",https://twitter.com/msgrumpybunny/status/1021498853256781825,1532379279
Everyone knows it was all fraudulent!,AliDee12017,"msgrumpybunny,realDonaldTrump",https://twitter.com/AliDee12017/status/1021516854689517568,1532383571
"Well, Andrew’s been known to prop up dead men before...,pic.twitter.com/gstCZgQO1p",AmishPornStar1,realDonaldTrump,https://twitter.com/AmishPornStar1/status/1021580106878382081,1532398652
"Omg what a joke! He meant Joseph Mac Carthy, I think. Who never even said that !!!",zaremba_cathy65,"AmishPornStar1,realDonaldTrump",https://twitter.com/zaremba_cathy65/status/1022004679604092929,1532499878
pic.twitter.com/Cn8dlRkNVn,Trumpgot2go,realDonaldTrump,https://twitter.com/Trumpgot2go/status/1021054122693455872,1532273247
"McCarthy is correct!  I've said it from the start. When ,@,HillaryClinton, is involved it's criminal corruption!

,#,FireMuellerandRosenstein",DrDHennen,realDonaldTrump,https://twitter.com/DrDHennen/status/1021416249115447297,1532359585
"@,MattDrudge, Obama appointed judge Rudy Contreras (Strzok's friend) signed FISA warrant based on ,#,FakeDossier, created by ,#,FusionGPS, employee ,#,NellieOhr, submitted to ,@,FBI, husband ,#,BruceOhr,. Judge wouldn't recuse himself was removed took full retirement pkge returned to Miami.,pic.twitter.com/xqVv53pSMU",SyndicatedTalk,realDonaldTrump,https://twitter.com/SyndicatedTalk/status/1021408076526702592,1532357636
pic.twitter.com/TfJCrJnQSD,CallisonBrandon,realDonaldTrump,https://twitter.com/CallisonBrandon/status/1021407527878242304,1532357506
Can we just do away with FISA courts entirely now? They are unconstitutional to begin with.,Lumacas,realDonaldTrump,https://twitter.com/Lumacas/status/1021426173379858432,1532361951
"Can we?   Do you work in government.  ,#,MORONSFOLLOWTRUMP",cokodozo,"Lumacas,realDonaldTrump",https://twitter.com/cokodozo/status/1021610223520423936,1532405832
You two should do a remake of Weekend At Bernie’s,RobDubJ,realDonaldTrump,https://twitter.com/RobDubJ/status/1021398553619456000,1532355366
I hate myself. I would watch that,skynetesq,"RobDubJ,realDonaldTrump",https://twitter.com/skynetesq/status/1021401285226999808,1532356017
"Please close down the ,#,ChildConcentrationCamps",lempimiller,realDonaldTrump,https://twitter.com/lempimiller/status/1021542814851588096,1532389761
"The ones that ,#,OBAMA, opened?",freefly10,"lempimiller,realDonaldTrump",https://twitter.com/freefly10/status/1021572653662920704,1532396875
"#,RussianBot",lempimiller,"freefly10,realDonaldTrump",https://twitter.com/lempimiller/status/1021584817631059968,1532399775
"obama should be arrested and thrown in prison . he had relations with iran and he gave 2,500 iran's citizens ship to america .",alvina71,realDonaldTrump,https://twitter.com/alvina71/status/1021391511257305090,1532353687
Didn’t know which hunts resulted in 12 indictments,TGombita,realDonaldTrump,https://twitter.com/TGombita/status/1021546945716932608,1532390745
Where are your tax returns you promised?,paw1028,realDonaldTrump,https://twitter.com/paw1028/status/1021515987471032320,1532383364
Let's talk about Seth rich is that a mob hit what's going on with that we need to talk about who murdered Seth rich,dancrabtree63,realDonaldTrump,https://twitter.com/dancrabtree63/status/1021408485442015233,1532357734
"Oohh, Mueller must be getting close. ",rdmmus,realDonaldTrump,https://twitter.com/rdmmus/status/1021398834239410177,1532355433
"what a joke.,pic.twitter.com/XU4ypcPOlO",RobertD42451426,"rdmmus,realDonaldTrump",https://twitter.com/RobertD42451426/status/1022078547408707585,1532517489
"Please have the rest of those documents declassified so we, the American people,  can view the truth.  And please get rid of Jeff Sessions.  He is worthless in this role.",Lindymac22,realDonaldTrump,https://twitter.com/Lindymac22/status/1021844705053749248,1532461737
"@,jeffsessions, is definitely a disgrace to the AG position & he is a disgrace to Alabama and he should have been fired a long time ago.",cost_tracy,"Lindymac22,realDonaldTrump",https://twitter.com/cost_tracy/status/1022321704192946177,1532575462
"So either everyone in law enforcement is lying... Or ,#,DonaldTrump, is.

If you picked everyone else, you're part of the problem.",DynaMoChen,realDonaldTrump,https://twitter.com/DynaMoChen/status/1021389238372380674,1532353145
"If your thinking is that clouded, then you definitely have a problem. GREAT NEWS! TDS is treatable...just take some thinking lessons and a breath, you'll be fine, AND a MAGA Recipient.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021409348130623488,1532357940
Thank you and your 7 followers... whew.,DynaMoChen,"camshot2,realDonaldTrump",https://twitter.com/DynaMoChen/status/1021410672889016320,1532358255
"Isn't twitter amazing? Just opened my account a few weeks back and never used it until a few days ago and much more than 7 followers already today! WOW! BUT it isn't about numbers, it is about content. You lack therein my friend.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021438249921929216,1532364830
52 tweets is NOT content.,DynaMoChen,"camshot2,realDonaldTrump",https://twitter.com/DynaMoChen/status/1021441440847736833,1532365591
"Ah yes...Grassmoker, but it is a start... You see content is a word you do not really understand it appears. Do not fear, for I will instruct your Weedflopper.",camshot2,"DynaMoChen,realDonaldTrump",https://twitter.com/camshot2/status/1021508137919107072,1532381493
"It’s as obvious as the nose on my face that the FISA Court was set up to be a “personal court” for the ,#,DeepState, criminals. 99% of FISA Court applications had been approved. ,#,LockThemAllUp",Oh_Please227,"realDonaldTrump,DeplorableJLS",https://twitter.com/Oh_Please227/status/1023819001170804738,1532932446
